content,label,filtered,cleaned,content_tokens,normalisasi
kalo pengajuannya berhasil dikasih bintang 5,0,kalo pengajuannya berhasil dikasih bintang,kalo aju hasil kasih bintang,"['kalo', 'aju', 'hasil', 'kasih', 'bintang']","['kalau', 'aju', 'hasil', 'kasih', 'bintang']"
coba dulu kalo d acc saya kasih bintang 5,0,coba dulu kalo d acc saya kasih bintang,coba dulu kalo acc saya kasih bintang,"['coba', 'dulu', 'kalo', 'acc', 'saya', 'kasih', 'bintang']","['coba', 'dulu', 'kalau', 'terima', 'aku', 'kasih', 'bintang']"
"bintang 2 dulu, kalo di acc nanti saya kasih bintang 5",0,bintang dulu kalo di acc nanti saya kasih bintang,bintang dulu kalo acc nanti saya kasih bintang,"['bintang', 'dulu', 'kalo', 'acc', 'nanti', 'saya', 'kasih', 'bintang']","['bintang', 'dulu', 'kalau', 'terima', 'nanti', 'aku', 'kasih', 'bintang']"
maaf sblmnya saya mau daptar paylater d indona ko ga bisa ya....,0,maaf sblmnya saya mau daptar paylater d indona ko ga bisa ya,maaf sblmnya saya daptar paylater indona ga bisa,"['maaf', 'sblmnya', 'saya', 'daptar', 'paylater', 'indona', 'ga', 'bisa']","['maaf', 'sblmnya', 'aku', 'daptar', 'paylater', 'indona', 'tidak', 'bisa']"
tolong proses kan bantu saya,0,tolong proses kan bantu saya,tolong proses bantu saya,"['tolong', 'proses', 'bantu', 'saya']","['tolong', 'proses', 'bantu', 'aku']"
bismillah semoga di acc dan bisa membantu buat nambahin modal usaha,0,bismillah semoga di acc dan bisa membantu buat nambahin modal usaha,bismillah moga acc bisa bantu nambahin modal usaha,"['bismillah', 'moga', 'acc', 'bisa', 'bantu', 'nambahin', 'modal', 'usaha']","['bismillah', 'semoga', 'terima', 'bisa', 'bantu', 'nambahin', 'modal', 'usaha']"
accc kita tambah bintang bos ku,0,accc kita tambah bintang bos ku,accc kita tambah bintang bos ku,"['accc', 'kita', 'tambah', 'bintang', 'bos', 'ku']","['accc', 'kita', 'tambah', 'bintang', 'bos', 'ku']"
"kenapa saat pengajuan mau buka aplikasi nya tidak bisa layar langsung gelap dan mati tidak bisa di buka aplikasi nya,tolong di jelas kan?",0,kenapa saat pengajuan mau buka aplikasi nya tidak bisa layar langsung gelap dan mati tidak bisa di buka aplikasi nya tolong di jelas kan,kenapa saat aju buka aplikasi tidak bisa layar langsung gelap mati tidak bisa buka aplikasi tolong jelas,"['kenapa', 'saat', 'aju', 'buka', 'aplikasi', 'tidak', 'bisa', 'layar', 'langsung', 'gelap', 'mati', 'tidak', 'bisa', 'buka', 'aplikasi', 'tolong', 'jelas']","['kenapa', 'saat', 'aju', 'buka', 'aplikasi', 'tidak', 'bisa', 'layar', 'langsung', 'gelap', 'mati', 'tidak', 'bisa', 'buka', 'aplikasi', 'tolong', 'jelas']"
"semoga di setujui saya, keluarga saya pelanggan setia dari indodana",0,semoga di setujui saya keluarga saya pelanggan setia dari indodana,moga tuju saya keluarga saya langgan setia indodana,"['moga', 'tuju', 'saya', 'keluarga', 'saya', 'langgan', 'setia', 'indodana']","['semoga', 'tuju', 'aku', 'keluarga', 'aku', 'langgan', 'setia', 'indodana']"
moga bisa membantu,0,moga bisa membantu,moga bisa bantu,"['moga', 'bisa', 'bantu']","['semoga', 'bisa', 'bantu']"
smga dpet hasil baik,0,smga dpet hasil baik,smga dpet hasil baik,"['smga', 'dpet', 'hasil', 'baik']","['smga', 'dpet', 'hasil', 'baik']"
semoga di acc apk ya mantep,0,semoga di acc apk ya mantep,moga acc apk mantep,"['moga', 'acc', 'apk', 'mantep']","['semoga', 'terima', 'aplikasi', 'mantap']"
semoga amanah dan bermanfaat untuk membantu orang ã°å¸â¢â,0,semoga amanah dan bermanfaat untuk membantu orang,moga amanah manfaat untuk bantu orang,"['moga', 'amanah', 'manfaat', 'untuk', 'bantu', 'orang']","['semoga', 'amanah', 'manfaat', 'untuk', 'bantu', 'orang']"
kalau limit sy disetujukan mpull bintang..kalo ga disetujukan cukup w 1 bintang..banyak2 bintang bisi ngalunjakã°å¸âå½,0,kalau limit sy disetujukan mpull bintang kalo ga disetujukan cukup w bintang banyak bintang bisi ngalunjak,kalau limit sy tuju mpull bintang kalo ga tuju cukup bintang banyak bintang bis ngalunjak,"['kalau', 'limit', 'sy', 'tuju', 'mpull', 'bintang', 'kalo', 'ga', 'tuju', 'cukup', 'bintang', 'banyak', 'bintang', 'bis', 'ngalunjak']","['kalau', 'limit', 'saya', 'tuju', 'mpull', 'bintang', 'kalau', 'tidak', 'tuju', 'cukup', 'bintang', 'banyak', 'bintang', 'bis', 'ngalunjak']"
"mudah"" an di setujui",0,mudah an di setujui,mudah di tuju,"['mudah', 'di', 'tuju']","['mudah', 'di', 'tuju']"
semoga di acc ya min,0,semoga di acc ya min,moga acc min,"['moga', 'acc', 'min']","['semoga', 'terima', 'admin']"
"baru coba, nanti kalo pelayanannya bagus nanti saya tambah bintang lagi.",0,baru coba nanti kalo pelayanannya bagus nanti saya tambah bintang lagi,baru coba nanti kalo layan bagus nanti saya tambah bintang,"['baru', 'coba', 'nanti', 'kalo', 'layan', 'bagus', 'nanti', 'saya', 'tambah', 'bintang']","['baru', 'coba', 'nanti', 'kalau', 'layan', 'bagus', 'nanti', 'aku', 'tambah', 'bintang']"
semoga d acc ya buat bl barang keperluan rmh tangga,0,semoga d acc ya buat bl barang keperluan rmh tangga,moga acc buat bl barang perlu rmh tangga,"['moga', 'acc', 'buat', 'bl', 'barang', 'perlu', 'rmh', 'tangga']","['semoga', 'terima', 'buat', 'bl', 'barang', 'perlu', 'rmh', 'tangga']"
semoga di acc cepat,0,semoga di acc cepat,moga acc cepat,"['moga', 'acc', 'cepat']","['semoga', 'terima', 'cepat']"
semoga cair buat renovasi rumah. terimakasih,0,semoga cair buat renovasi rumah terimakasih,moga cair renovasi rumah terimakasih,"['moga', 'cair', 'renovasi', 'rumah', 'terimakasih']","['semoga', 'cair', 'renovasi', 'rumah', 'terimakasih']"
semoga dapat di cairkan lagi butuh dana banget ã°å¸â¥â°,0,semoga dapat di cairkan lagi butuh dana banget,moga dapat cair butuh dana,"['moga', 'dapat', 'cair', 'butuh', 'dana']","['semoga', 'dapat', 'cair', 'butuh', 'dana']"
tolong data2 an. neni kurniasih dihapus. karena pengajuan ditolak.,0,tolong data an neni kurniasih dihapus karena pengajuan ditolak,tolong data neni kurniasih hapus aju tolak,"['tolong', 'data', 'neni', 'kurniasih', 'hapus', 'aju', 'tolak']","['tolong', 'data', 'neni', 'kurniasih', 'hapus', 'aju', 'tolak']"
smga bermanfaat,0,smga bermanfaat,smga manfaat,"['smga', 'manfaat']","['smga', 'manfaat']"
"pengajuan sudah disetujui tapi aplikasi nggak bisa kebuka,gimana solusinya",0,pengajuan sudah disetujui tapi aplikasi nggak bisa kebuka gimana solusinya,aju sudah tuju tapi aplikasi nggak bisa buka gimana solusi,"['aju', 'sudah', 'tuju', 'tapi', 'aplikasi', 'nggak', 'bisa', 'buka', 'gimana', 'solusi']","['aju', 'sudah', 'tuju', 'tapi', 'aplikasi', 'tidak', 'bisa', 'buka', 'gimana', 'solusi']"
tolong bantu keuangan saya ya admin,0,tolong bantu keuangan saya ya admin,tolong bantu uang saya admin,"['tolong', 'bantu', 'uang', 'saya', 'admin']","['tolong', 'bantu', 'uang', 'aku', 'admin']"
"kepada..bpk/ibu saya ingin menghapus data"" pribadi saya..dengan nama ari suheri..mohon diblz???",0,kepada bpk ibu saya ingin menghapus data pribadi saya dengan nama ari suheri mohon diblz,kepada bpk ibu saya ingin hapus data pribadi saya dengan nama ari suheri mohon diblz,"['kepada', 'bpk', 'ibu', 'saya', 'ingin', 'hapus', 'data', 'pribadi', 'saya', 'dengan', 'nama', 'ari', 'suheri', 'mohon', 'diblz']","['kepada', 'bapak', 'ibu', 'aku', 'ingin', 'hapus', 'data', 'pribadi', 'aku', 'dengan', 'nama', 'ari', 'suheri', 'mohon', 'diblz']"
"karna blm d acc , saya kasih bintang 4 dulu.. nanti klaau sudah acc saya kasih bintang 5",0,karna blm d acc saya kasih bintang dulu nanti klaau sudah acc saya kasih bintang,karna blm acc saya kasih bintang dulu nanti klaau sudah acc saya kasih bintang,"['karna', 'blm', 'acc', 'saya', 'kasih', 'bintang', 'dulu', 'nanti', 'klaau', 'sudah', 'acc', 'saya', 'kasih', 'bintang']","['karena', 'belum', 'terima', 'aku', 'kasih', 'bintang', 'dulu', 'nanti', 'klaau', 'sudah', 'terima', 'aku', 'kasih', 'bintang']"
4 dulu aja,0,dulu aja,dulu,['dulu'],['dulu']
"belum pernah lolos acc disini,,ya semoga aja hari ini lolos",0,belum pernah lolos acc disini ya semoga aja hari ini lolos,belum pernah lolos acc sini moga hari lolos,"['belum', 'pernah', 'lolos', 'acc', 'sini', 'moga', 'hari', 'lolos']","['belum', 'pernah', 'lolos', 'terima', 'sini', 'semoga', 'hari', 'lolos']"
kasih bintang satu aja dulu kalau di acc kan baru bintang 5,0,kasih bintang satu aja dulu kalau di acc kan baru bintang,kasih bintang satu dulu kalau acc baru bintang,"['kasih', 'bintang', 'satu', 'dulu', 'kalau', 'acc', 'baru', 'bintang']","['kasih', 'bintang', 'satu', 'dulu', 'kalau', 'terima', 'baru', 'bintang']"
mudah mudahan diproses sesuai dengan iklannya 99 di acc,0,mudah mudahan diproses sesuai dengan iklannya di acc,mudah mudah proses sesuai dengan iklan acc,"['mudah', 'mudah', 'proses', 'sesuai', 'dengan', 'iklan', 'acc']","['mudah', 'mudah', 'proses', 'sesuai', 'dengan', 'iklan', 'terima']"
daerah tuban jawa timur,0,daerah tuban jawa timur,daerah tuban jawa timur,"['daerah', 'tuban', 'jawa', 'timur']","['daerah', 'tuban', 'jawa', 'timur']"
2 aja dulu gg di acc klo di acc full binyang nya,0,aja dulu gg di acc klo di acc full binyang nya,dulu gg acc klo acc full binyang,"['dulu', 'gg', 'acc', 'klo', 'acc', 'full', 'binyang']","['dulu', 'gg', 'terima', 'kalau', 'terima', 'penuh', 'binyang']"
semoga di a cc,0,semoga di a cc,moga a cc,"['moga', 'a', 'cc']","['semoga', 'a', 'cc']"
"di instal lg krn lg bnr bnr bth,tp blm rejeki nya dsni,mulai hr ini tgl 1 febuari 2023 sy instal dan unistal,mhn data sy jgn di salahgunakan,jika ada hal2 aneh di luar tgg jwb sy,trmksh",0,di instal lg krn lg bnr bnr bth tp blm rejeki nya dsni mulai hr ini tgl febuari sy instal dan unistal mhn data sy jgn di salahgunakan jika ada hal aneh di luar tgg jwb sy trmksh,instal krn bnr bth blm rejeki dsni mulai hr tgl febuari sy instal unistal mhn data sy jgn salahgunakan jika ada hal aneh luar tgg jwb sy trmksh,"['instal', 'krn', 'bnr', 'bth', 'blm', 'rejeki', 'dsni', 'mulai', 'hr', 'tgl', 'febuari', 'sy', 'instal', 'unistal', 'mhn', 'data', 'sy', 'jgn', 'salahgunakan', 'jika', 'ada', 'hal', 'aneh', 'luar', 'tgg', 'jwb', 'sy', 'trmksh']","['pasang', 'karena', 'benar', 'bth', 'belum', 'rezeki', 'dsni', 'mulai', 'hari', 'tanggal', 'febuari', 'saya', 'pasang', 'unistal', 'mhn', 'data', 'saya', 'jangan', 'salahgunakan', 'jika', 'ada', 'hal', 'aneh', 'luar', 'tgg', 'jawab', 'saya', 'trmksh']"
kenapa selalu di tolak saya pinjam,0,kenapa selalu di tolak saya pinjam,kenapa selalu tolak saya pinjam,"['kenapa', 'selalu', 'tolak', 'saya', 'pinjam']","['kenapa', 'selalu', 'tolak', 'aku', 'pinjam']"
semoga saja,0,semoga saja,moga,['moga'],['semoga']
minta limit yg besar supaya bisa belanja motor,0,minta limit yg besar supaya bisa belanja motor,minta limit besar supaya bisa belanja motor,"['minta', 'limit', 'besar', 'supaya', 'bisa', 'belanja', 'motor']","['minta', 'limit', 'besar', 'supaya', 'bisa', 'belanja', 'motor']"
lagi coba,0,lagi coba,coba,['coba'],['coba']
bismillah dengan aplikasi ini dapat terbantu,0,bismillah dengan aplikasi ini dapat terbantu,bismillah dengan aplikasi dapat bantu,"['bismillah', 'dengan', 'aplikasi', 'dapat', 'bantu']","['bismillah', 'dengan', 'aplikasi', 'dapat', 'bantu']"
semoga acx,0,semoga acx,moga acx,"['moga', 'acx']","['semoga', 'acx']"
"wilayah prov: sumatra selatan,kab : muara enim, kec :lawang kidul,kel : tanjung enim",0,wilayah prov sumatra selatan kab muara enim kec lawang kidul kel tanjung enim,wilayah prov sumatra selatan kab muara enim kec lawang kidul kel tanjung enim,"['wilayah', 'prov', 'sumatra', 'selatan', 'kab', 'muara', 'enim', 'kec', 'lawang', 'kidul', 'kel', 'tanjung', 'enim']","['wilayah', 'prov', 'sumatra', 'selatan', 'kab', 'muara', 'enim', 'kec', 'lawang', 'kidul', 'kelas', 'tanjung', 'enim']"
"masih mencoba ,kalo di acc saya tambah bintang lagi,",0,masih mencoba kalo di acc saya tambah bintang lagi,masih coba kalo acc saya tambah bintang,"['masih', 'coba', 'kalo', 'acc', 'saya', 'tambah', 'bintang']","['masih', 'coba', 'kalau', 'terima', 'aku', 'tambah', 'bintang']"
belum tau d acc apa belum kalau udah d acc saya kirim bintang ulang,0,belum tau d acc apa belum kalau udah d acc saya kirim bintang ulang,belum tau acc apa belum kalau udah acc saya kirim bintang ulang,"['belum', 'tau', 'acc', 'apa', 'belum', 'kalau', 'udah', 'acc', 'saya', 'kirim', 'bintang', 'ulang']","['belum', 'tau', 'terima', 'apa', 'belum', 'kalau', 'sudah', 'terima', 'aku', 'kirim', 'bintang', 'ulang']"
saya kirim 2 bintang dulu karna belum di acc,0,saya kirim bintang dulu karna belum di acc,saya kirim bintang dulu karna belum acc,"['saya', 'kirim', 'bintang', 'dulu', 'karna', 'belum', 'acc']","['aku', 'kirim', 'bintang', 'dulu', 'karena', 'belum', 'terima']"
beri 3 dulu. nanti klow di proses q kasih 5,0,beri dulu nanti klow di proses q kasih,beri dulu nanti klow proses q kasih,"['beri', 'dulu', 'nanti', 'klow', 'proses', 'q', 'kasih']","['beri', 'dulu', 'nanti', 'klow', 'proses', 'q', 'kasih']"
masih proses,0,masih proses,masih proses,"['masih', 'proses']","['masih', 'proses']"
semoga bisa di pakai,0,semoga bisa di pakai,moga bisa pakai,"['moga', 'bisa', 'pakai']","['semoga', 'bisa', 'pakai']"
tolong dong acc pinjman saya,0,tolong dong acc pinjman saya,tolong acc pinjman saya,"['tolong', 'acc', 'pinjman', 'saya']","['tolong', 'terima', 'pinjman', 'aku']"
sedang mencoba,0,sedang mencoba,sedang coba,"['sedang', 'coba']","['sedang', 'coba']"
"saya yang berama putu agus arya tegar saniarsa meminta tolong hapus akun & data data pribadi saya di aplikasi ini, di karenakan tidak membutuhkan lagi , saya tunggu balasan dari bapak/ibu. terima kasih",0,saya yang berama putu agus arya tegar saniarsa meminta tolong hapus akun data data pribadi saya di aplikasi ini di karenakan tidak membutuhkan lagi saya tunggu balasan dari bapak ibu terima kasih,saya ama putu agus arya tegar saniarsa minta tolong hapus akun data data pribadi saya aplikasi di karena tidak butuh saya tunggu balas bapak ibu terima kasih,"['saya', 'ama', 'putu', 'agus', 'arya', 'tegar', 'saniarsa', 'minta', 'tolong', 'hapus', 'akun', 'data', 'data', 'pribadi', 'saya', 'aplikasi', 'di', 'karena', 'tidak', 'butuh', 'saya', 'tunggu', 'balas', 'bapak', 'ibu', 'terima', 'kasih']","['aku', 'sama', 'putu', 'agus', 'arya', 'tegar', 'saniarsa', 'minta', 'tolong', 'hapus', 'akun', 'data', 'data', 'pribadi', 'aku', 'aplikasi', 'di', 'karena', 'tidak', 'butuh', 'aku', 'tunggu', 'balas', 'bapak', 'ibu', 'terima', 'kasih']"
tolong d acc minã°å¸â¢â,0,tolong d acc min,tolong acc min,"['tolong', 'acc', 'min']","['tolong', 'terima', 'admin']"
yth bapak/ibu saya yang bernama rita. meminta tolong hapus data2 pribadi saya dikarenakan ada yang menggunakan aplikasi indodana saya kalau perlu blokir aja.,0,yth bapak ibu saya yang bernama rita meminta tolong hapus data pribadi saya dikarenakan ada yang menggunakan aplikasi indodana saya kalau perlu blokir aja,bapak ibu saya nama rita minta tolong hapus data pribadi saya karena ada guna aplikasi indodana saya kalau perlu blokir,"['bapak', 'ibu', 'saya', 'nama', 'rita', 'minta', 'tolong', 'hapus', 'data', 'pribadi', 'saya', 'karena', 'ada', 'guna', 'aplikasi', 'indodana', 'saya', 'kalau', 'perlu', 'blokir']","['bapak', 'ibu', 'aku', 'nama', 'rita', 'minta', 'tolong', 'hapus', 'data', 'pribadi', 'aku', 'karena', 'ada', 'guna', 'aplikasi', 'indodana', 'aku', 'kalau', 'perlu', 'blokir']"
tunggu hasil ny dulu bru bntang 5,0,tunggu hasil ny dulu bru bntang,tunggu hasil dulu bru bntang,"['tunggu', 'hasil', 'dulu', 'bru', 'bntang']","['tunggu', 'hasil', 'dulu', 'baru', 'bntang']"
bintang lima kalo di setujui,0,bintang lima kalo di setujui,bintang lima kalo tuju,"['bintang', 'lima', 'kalo', 'tuju']","['bintang', 'lima', 'kalau', 'tuju']"
jika acc tambah bintangnya aceh,0,jika acc tambah bintangnya aceh,jika acc tambah bintang aceh,"['jika', 'acc', 'tambah', 'bintang', 'aceh']","['jika', 'terima', 'tambah', 'bintang', 'aceh']"
tolong hapus data saya karena pinjaman saya gagal,0,tolong hapus data saya karena pinjaman saya gagal,tolong hapus data saya pinjam saya gagal,"['tolong', 'hapus', 'data', 'saya', 'pinjam', 'saya', 'gagal']","['tolong', 'hapus', 'data', 'aku', 'pinjam', 'aku', 'gagal']"
"semoga bisa membantu untuk semua pengguna. mohon bantu jaga data"" saya indodana",0,semoga bisa membantu untuk semua pengguna mohon bantu jaga data saya indodana,moga bisa bantu untuk semua guna mohon bantu jaga data saya indodana,"['moga', 'bisa', 'bantu', 'untuk', 'semua', 'guna', 'mohon', 'bantu', 'jaga', 'data', 'saya', 'indodana']","['semoga', 'bisa', 'bantu', 'untuk', 'semua', 'guna', 'mohon', 'bantu', 'jaga', 'data', 'aku', 'indodana']"
bintang 2 dl krn baru cb,0,bintang dl krn baru cb,bintang dl baru cb,"['bintang', 'dl', 'baru', 'cb']","['bintang', 'dl', 'baru', 'coba']"
mudah2an di acc krna baru ngajuin buat bwa anak ke rs dari kmrn pupnya berdarah... mksh. semoga di acc ya allah ya robb.... amin yra,0,mudah an di acc krna baru ngajuin buat bwa anak ke rs dari kmrn pupnya berdarah mksh semoga di acc ya allah ya robb amin yra,mudah acc krna baru ngajuin bwa anak rs kmrn pupnya darah mksh moga di acc allah robb amin yra,"['mudah', 'acc', 'krna', 'baru', 'ngajuin', 'bwa', 'anak', 'rs', 'kmrn', 'pupnya', 'darah', 'mksh', 'moga', 'di', 'acc', 'allah', 'robb', 'amin', 'yra']","['mudah', 'terima', 'karena', 'baru', 'ngajuin', 'bwa', 'anak', 'rs', 'kemarin', 'pupnya', 'darah', 'mksh', 'semoga', 'di', 'terima', 'allah', 'allah', 'amin', 'yra']"
"saya kasih bintang 3 dulu ya, karna belum ada hasil pencairan",0,saya kasih bintang dulu ya karna belum ada hasil pencairan,saya kasih bintang dulu karna belum ada hasil cair,"['saya', 'kasih', 'bintang', 'dulu', 'karna', 'belum', 'ada', 'hasil', 'cair']","['aku', 'kasih', 'bintang', 'dulu', 'karena', 'belum', 'ada', 'hasil', 'cair']"
mudah2ab berhasil,0,mudah ab berhasil,mudah ab hasil,"['mudah', 'ab', 'hasil']","['mudah', 'ab', 'hasil']"
mudah2 acc,0,mudah acc,mudah acc,"['mudah', 'acc']","['mudah', 'terima']"
mohon di bantu saya lagi butuh ã°å¸â¢â,0,mohon di bantu saya lagi butuh,mohon bantu saya butuh,"['mohon', 'bantu', 'saya', 'butuh']","['mohon', 'bantu', 'aku', 'butuh']"
saya kasih bintang 1 dulu klw lolos pinjaman saya akan saya kasih binta 5ã°å¸ââã°å¸â¢â,0,saya kasih bintang dulu klw lolos pinjaman saya akan saya kasih binta,saya kasih bintang dulu klw lolos pinjam saya akan saya kasih binta,"['saya', 'kasih', 'bintang', 'dulu', 'klw', 'lolos', 'pinjam', 'saya', 'akan', 'saya', 'kasih', 'binta']","['aku', 'kasih', 'bintang', 'dulu', 'klw', 'lolos', 'pinjam', 'aku', 'akan', 'aku', 'kasih', 'binta']"
klo di acc baru bintang 5,0,klo di acc baru bintang,klo acc baru bintang,"['klo', 'acc', 'baru', 'bintang']","['kalau', 'terima', 'baru', 'bintang']"
semoga mudah proses pencairannya dan membantu,0,semoga mudah proses pencairannya dan membantu,moga mudah proses cair bantu,"['moga', 'mudah', 'proses', 'cair', 'bantu']","['semoga', 'mudah', 'proses', 'cair', 'bantu']"
kalo cair baru naik bintang,0,kalo cair baru naik bintang,kalo cair baru naik bintang,"['kalo', 'cair', 'baru', 'naik', 'bintang']","['kalau', 'cair', 'baru', 'naik', 'bintang']"
kah bintang dlu,0,kah bintang dlu,bintang dlu,"['bintang', 'dlu']","['bintang', 'dulu']"
smoha d acc,0,smoha d acc,smoha acc,"['smoha', 'acc']","['smoha', 'terima']"
"mudah""an cepat di acc dan bs jd salah satu paltform yg bagsu",0,mudah an cepat di acc dan bs jd salah satu paltform yg bagsu,mudah cepat acc bs jd salah satu paltform bagsu,"['mudah', 'cepat', 'acc', 'bs', 'jd', 'salah', 'satu', 'paltform', 'bagsu']","['mudah', 'cepat', 'terima', 'bisa', 'jd', 'salah', 'satu', 'paltform', 'bagsu']"
moga bisa d andalkan,0,moga bisa d andalkan,moga bisa andal,"['moga', 'bisa', 'andal']","['semoga', 'bisa', 'andal']"
sya kasih bintang 2 semoga aja doacc,0,sya kasih bintang semoga aja doacc,sya kasih bintang moga doacc,"['sya', 'kasih', 'bintang', 'moga', 'doacc']","['aku', 'kasih', 'bintang', 'semoga', 'doacc']"
smoga bisa membantu saya,0,smoga bisa membantu saya,smoga bisa bantu saya,"['smoga', 'bisa', 'bantu', 'saya']","['smoga', 'bisa', 'bantu', 'aku']"
bintang 2 dl nnt kalau di acc aku kasih bintang 5 semoga di acc amin,0,bintang dl nnt kalau di acc aku kasih bintang semoga di acc amin,bintang dl nnt kalau acc aku kasih bintang moga acc amin,"['bintang', 'dl', 'nnt', 'kalau', 'acc', 'aku', 'kasih', 'bintang', 'moga', 'acc', 'amin']","['bintang', 'dl', 'nanti', 'kalau', 'terima', 'aku', 'kasih', 'bintang', 'semoga', 'terima', 'amin']"
tolong data saya di hapus y bos jangan di salah gunakan,0,tolong data saya di hapus y bos jangan di salah gunakan,tolong data saya hapus y bos jangan salah guna,"['tolong', 'data', 'saya', 'hapus', 'y', 'bos', 'jangan', 'salah', 'guna']","['tolong', 'data', 'aku', 'hapus', 'iya', 'bos', 'jangan', 'salah', 'guna']"
daerah banten mohon diadakan,0,daerah banten mohon diadakan,daerah banten mohon ada,"['daerah', 'banten', 'mohon', 'ada']","['daerah', 'banten', 'mohon', 'ada']"
belum disetujui saya kasih bintang 2 dulu ya,0,belum disetujui saya kasih bintang dulu ya,belum tuju saya kasih bintang dulu,"['belum', 'tuju', 'saya', 'kasih', 'bintang', 'dulu']","['belum', 'tuju', 'aku', 'kasih', 'bintang', 'dulu']"
semoga d kasih pinjamanya dn amanah,0,semoga d kasih pinjamanya dn amanah,moga kasih pinjamanya dn amanah,"['moga', 'kasih', 'pinjamanya', 'dn', 'amanah']","['semoga', 'kasih', 'pinjamanya', 'dan', 'amanah']"
blm tau berhasil atau g,0,blm tau berhasil atau g,blm tau hasil atau g,"['blm', 'tau', 'hasil', 'atau', 'g']","['belum', 'tau', 'hasil', 'atau', 'tidak']"
semoga bisa cepat lunas,0,semoga bisa cepat lunas,moga bisa cepat lunas,"['moga', 'bisa', 'cepat', 'lunas']","['semoga', 'bisa', 'cepat', 'lunas']"
bintang 3 dulu..kalau di acc baru 5,0,bintang dulu kalau di acc baru,bintang dulu kalau acc baru,"['bintang', 'dulu', 'kalau', 'acc', 'baru']","['bintang', 'dulu', 'kalau', 'terima', 'baru']"
"saya minta tolong, lulus in, ntr saya byr",0,saya minta tolong lulus in ntr saya byr,saya minta tolong lulus in ntr saya byr,"['saya', 'minta', 'tolong', 'lulus', 'in', 'ntr', 'saya', 'byr']","['aku', 'minta', 'tolong', 'lulus', 'di', 'ntr', 'aku', 'byr']"
bintang 1 dlu klw udah di acc baru bintang 5,0,bintang dlu klw udah di acc baru bintang,bintang dlu klw udah acc baru bintang,"['bintang', 'dlu', 'klw', 'udah', 'acc', 'baru', 'bintang']","['bintang', 'dulu', 'klw', 'sudah', 'terima', 'baru', 'bintang']"
smoga acc,0,smoga acc,smoga acc,"['smoga', 'acc']","['smoga', 'terima']"
saya kasih tiga dlu klw pengajuan sya di acc saya tambah lagi...heee,0,saya kasih tiga dlu klw pengajuan sya di acc saya tambah lagi heee,saya kasih tiga dlu klw aju sya acc saya tambah heee,"['saya', 'kasih', 'tiga', 'dlu', 'klw', 'aju', 'sya', 'acc', 'saya', 'tambah', 'heee']","['aku', 'kasih', 'tiga', 'dulu', 'klw', 'aju', 'aku', 'terima', 'aku', 'tambah', 'heee']"
mohon di acc atasnama khuzaeni faturohman,0,mohon di acc atasnama khuzaeni faturohman,mohon acc atasnama khuzaeni faturohman,"['mohon', 'acc', 'atasnama', 'khuzaeni', 'faturohman']","['mohon', 'terima', 'atasnama', 'khuzaeni', 'faturohman']"
klo di terima baru nambah bintang,0,klo di terima baru nambah bintang,klo terima baru nambah bintang,"['klo', 'terima', 'baru', 'nambah', 'bintang']","['kalau', 'terima', 'baru', 'nambah', 'bintang']"
mohon bantuan nya,0,mohon bantuan nya,mohon bantu,"['mohon', 'bantu']","['mohon', 'bantu']"
bismillah semoga sekarang pinjaman nya di setujui amin,0,bismillah semoga sekarang pinjaman nya di setujui amin,bismillah moga sekarang pinjam di tuju amin,"['bismillah', 'moga', 'sekarang', 'pinjam', 'di', 'tuju', 'amin']","['bismillah', 'semoga', 'sekarang', 'pinjam', 'di', 'tuju', 'amin']"
minta tolong hapus akun saya dan semua berkas saya di aplikasi indodana soalnya pengajuan pinjaman saya ngak di proses sampek saat ini jadi saya minta tolong di hapus semua berkas berkas saya yg telah saya ajukan di aplikasi pinjonl( indodana).,0,minta tolong hapus akun saya dan semua berkas saya di aplikasi indodana soalnya pengajuan pinjaman saya ngak di proses sampek saat ini jadi saya minta tolong di hapus semua berkas berkas saya yg telah saya ajukan di aplikasi pinjonl indodana,minta tolong hapus akun saya semua berkas saya aplikasi indodana soal aju pinjam saya ngak proses sampek saat jadi saya minta tolong hapus semua berkas berkas saya telah saya aju aplikasi pinjonl indodana,"['minta', 'tolong', 'hapus', 'akun', 'saya', 'semua', 'berkas', 'saya', 'aplikasi', 'indodana', 'soal', 'aju', 'pinjam', 'saya', 'ngak', 'proses', 'sampek', 'saat', 'jadi', 'saya', 'minta', 'tolong', 'hapus', 'semua', 'berkas', 'berkas', 'saya', 'telah', 'saya', 'aju', 'aplikasi', 'pinjonl', 'indodana']","['minta', 'tolong', 'hapus', 'akun', 'aku', 'semua', 'berkas', 'aku', 'aplikasi', 'indodana', 'soal', 'aju', 'pinjam', 'aku', 'tidak', 'proses', 'sampai', 'saat', 'jadi', 'aku', 'minta', 'tolong', 'hapus', 'semua', 'berkas', 'berkas', 'aku', 'telah', 'aku', 'aju', 'aplikasi', 'pinjonl', 'indodana']"
coba dullu kalo berhasil di + lagi,0,coba dullu kalo berhasil di lagi,coba dullu kalo hasil lagi,"['coba', 'dullu', 'kalo', 'hasil', 'lagi']","['coba', 'dullu', 'kalau', 'hasil', 'lagi']"
